AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2015,23464,Momil,23,Córdoba,3781.0,Córdoba (ETC),3395,98.26,98.14,62.37,90.11,85.04,50.26,111.58,94.08,110.88,127.52,90.69,21.26,70.0,1.29,,0.62,2.42,1.09,98.54,0.0,99.38,97.58,97.6,0.18,0.0,0.0,0.0,1.31,3.77,0.39,2.73,6.37,1.97
2011,19807,Timbío,19,Cauca,3777.0,Cauca (ETC),6919,102.07,101.9,63.3,94.4,70.9,55.0,124.3,99.6,122.9,127.8,131.2,21.73,33.33,1.31,1.57,0.91,1.73,1.26,96.95,0.39,97.14,96.54,96.95,1.74,0.39,1.95,1.73,1.79,1.14,0.0,0.49,2.47,0.79
2019,19585,Puracé,19,Cauca,3777.0,Cauca (ETC),3687,68.1,68.1,48.73,67.83,55.39,26.52,78.36,77.39,82.4,80.08,65.99,,,3.22,0.82,2.38,4.2,5.64,90.52,0.82,93.51,85.78,85.89,6.25,0.82,4.11,10.02,8.46,1.86,0.0,1.56,2.1,3.76
2018,86885,Villagarzón,86,Putumayo,3826.0,Putumayo (ETC),5671,108.23,100.39,54.91,93.28,87.44,42.68,113.44,107.48,116.42,126.65,83.3,,,6.26,5.96,3.82,9.44,5.69,84.39,0.21,88.9,76.53,85.37,9.36,0.21,7.28,14.02,8.94,2.23,0.21,1.52,3.78,1.46
2020,25843,Villa de San Diego de Ubate,25,Cundinamarca,3785.0,Cundinamarca (ETC),9447,96.06,95.87,61.01,91.49,91.1,52.19,109.33,92.28,101.94,121.64,111.59,,,0.65,0.21,0.6,0.88,0.36,92.65,5.7,95.02,89.88,92.38,6.7,5.7,4.38,9.23,7.26,6.74,1.48,4.87,10.23,5.24
2011,68235,El Carmen de Chucurí,68,Santander,3808.0,Santander (ETC),4573,75.57,75.6,65.1,88.1,49.2,16.7,86.9,87.2,114.7,81.0,38.1,23.27,15.19,3.55,4.17,3.22,3.87,4.35,94.47,0.0,95.43,93.69,86.96,1.98,0.0,1.36,2.44,8.7,0.09,0.0,0.15,0.0,0.0
2016,5658,San José de la Montaña,5,Antioquia,3758.0,Antioquia (ETC),913,73.1,73.06,48.72,71.07,63.91,42.45,84.67,56.41,93.4,91.39,61.15,25.695999999999998,,2.35,4.55,1.78,3.07,1.41,95.59,0.0,96.74,92.98,98.59,2.06,0.0,1.48,3.95,0.0,0.44,0.0,0.89,0.0,0.0
2023,68895,Zapatoca,68,Santander,3808.0,Santander (ETC),1811,100.39,100.28,81.08,88.45,91.33,64.48,112.76,104.73,102.49,128.81,110.0,,,3.01,5.88,2.36,3.4,2.14,92.94,0.0,94.39,90.52,94.12,4.04,0.0,3.25,6.08,3.74,7.06,4.41,9.75,5.9,2.67
2013,52418,Los Andes,52,Nariño,3798.0,Nariño (ETC),6191,31.77,31.8,19.0,30.7,28.2,14.0,40.8,33.0,43.8,38.5,41.7,34.54,19.35,2.74,1.13,2.07,4.29,2.06,97.26,0.0,97.93,95.71,97.94,0.0,0.0,0.0,0.0,0.0,0.93,2.26,1.38,0.28,0.0
2017,25483,Nariño,25,Cundinamarca,3785.0,Cundinamarca (ETC),464,74.1,74.14,48.72,72.54,62.91,38.27,87.07,79.49,84.97,95.36,80.25,27.416999999999998,60.0,2.47,6.45,1.85,2.46,2.0,96.71,0.0,98.15,97.54,92.0,0.82,0.0,0.0,0.0,6.0,1.37,0.0,3.09,0.0,0.0
2018,68211,Contratación,68,Santander,3808.0,Santander (ETC),627,79.03,98.56,66.67,92.4,92.27,50.89,108.13,88.89,103.6,125.45,91.96,,,2.0,5.0,1.16,1.92,3.26,87.86,0.0,94.21,78.46,93.48,10.14,0.0,4.63,19.62,3.26,0.0,0.0,0.0,0.0,0.0
2018,25817,Tocancipá,25,Cundinamarca,3785.0,Cundinamarca (ETC),8151,98.63,99.52,63.24,95.9,88.9,45.79,113.52,84.65,114.13,130.57,94.41,,,1.78,3.38,1.29,2.08,1.74,89.74,0.0,94.23,85.38,82.85,8.48,0.0,4.49,12.54,15.41,2.83,0.21,2.44,4.45,0.93
2014,50110,Barranca de Upía,50,Meta,3796.0,Meta (ETC),1018,139.1,85.51,45.9,71.88,70.72,49.43,162.67,143.53,186.15,167.26,103.57,33.17,0.0,0.07,,0.14,,,99.93,0.0,99.86,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,73001,Ibagué,73,Tolima,3816.0,Ibagué,85837,109.38,109.19,85.49,110.98,94.07,60.75,121.02,122.27,127.34,125.67,99.37,,,3.69,3.39,3.03,4.78,2.92,89.42,0.26,92.81,83.82,90.96,6.88,0.26,4.16,11.4,6.12,8.0,6.92,7.22,10.95,3.35
2019,50689,San Martín,50,Meta,3796.0,Meta (ETC),5899,85.03,85.0,57.58,80.12,75.15,38.37,92.59,85.93,96.89,100.3,69.78,,,4.9,8.64,3.09,6.2,5.31,95.1,0.0,96.91,93.8,94.69,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.05,0.55,0.18
2019,86749,Sibundoy,86,Putumayo,3826.0,Putumayo (ETC),2931,105.19,105.19,53.59,90.66,110.85,67.05,117.5,83.54,101.43,144.62,118.3,,,2.35,2.7,1.2,3.4,2.02,92.17,0.0,95.55,88.12,93.54,5.48,0.0,3.25,8.47,4.44,1.36,1.08,0.94,2.03,0.61
2018,54206,Convención,54,Norte de Santander,3801.0,Norte de Santander (ETC),4634,158.73,98.51,65.33,105.58,68.26,32.45,115.93,99.25,140.25,106.34,81.12,,,4.74,2.53,4.16,6.37,5.17,93.13,0.0,94.75,89.8,89.08,2.13,0.0,1.09,3.84,5.75,0.44,0.0,0.45,0.51,0.57
2018,63548,Pijao,63,Quindio,3803.0,Quindio (ETC),894,106.02,136.02,46.38,104.23,139.29,79.01,165.55,88.41,134.93,216.88,167.9,,,5.75,6.56,5.1,6.91,3.61,86.82,0.0,88.47,83.3,90.96,7.42,0.0,6.43,9.79,5.42,0.08,0.0,0.22,0.0,0.0
2012,5364,Jardín,5,Antioquia,3758.0,Antioquia (ETC),3195,89.23,89.2,72.8,82.3,71.3,41.2,101.5,89.4,113.6,99.6,76.4,23.43,73.68,3.37,2.73,3.46,3.8,2.25,86.53,0.0,86.22,85.12,84.79,10.1,0.0,10.32,11.07,12.96,0.2,0.0,0.13,0.46,0.0
2017,13042,Arenal,13,Bolívar,3767.0,Bolívar (ETC),5283,34.8,34.79,24.11,32.99,26.72,11.54,38.8,32.49,44.09,42.42,21.71,21.213,26.67,1.84,0.65,1.23,3.05,2.01,91.83,0.0,89.4,92.28,97.99,6.32,0.0,9.36,4.66,0.0,2.0,0.0,1.85,2.89,1.34
2011,15778,Sutatenza,15,Boyacá,3769.0,Boyacá (ETC),847,81.23,81.2,62.5,76.8,68.7,50.7,113.7,68.8,96.8,138.0,123.2,19.2,0.0,2.83,,1.03,5.51,2.97,93.9,0.0,97.25,88.56,94.06,3.27,0.0,1.72,5.93,2.97,0.45,0.0,0.0,1.27,0.0
2022,25307,Girardot,25,Cundinamarca,3787.0,Girardot,17764,105.74,105.45,68.74,98.62,94.0,64.8,116.98,97.1,114.48,124.02,119.03,,,4.83,3.45,4.18,6.62,2.89,88.68,0.0,89.7,84.6,92.01,6.49,0.0,6.12,8.78,5.1,8.14,1.31,9.81,8.63,5.17
2017,25339,Gutiérrez,25,Cundinamarca,3785.0,Cundinamarca (ETC),863,71.7,71.73,40.74,65.03,69.03,33.11,82.97,59.26,81.15,101.12,67.57,25.25,15.0,4.06,0.0,1.68,8.71,1.27,95.19,0.0,98.32,91.29,92.41,0.75,0.0,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0.0
2011,15740,Siachoque,15,Boyacá,3769.0,Boyacá (ETC),2329,86.82,86.8,68.8,84.2,77.0,42.7,97.7,79.2,96.4,116.2,72.9,20.43,57.14,3.36,0.69,1.4,5.83,5.26,94.47,1.38,95.59,93.31,91.5,2.17,1.38,3.01,0.85,3.24,1.63,0.0,2.58,1.0,0.81
2021,97001,Mitú,97,Vaupés,3.8310000000000004,Vaupés (ETC),11.497,63.0,63.0,36.89,60.84,42.96,16.79,77.38,57.61,83.9,83.66,57.16,,,4.79,5.02,3.53,5.83,7.43,89.18,0.0,92.59,85.29,81.75,6.03,0.0,3.88,8.88,10.82,3.52,0.0,2.45,5.4,4.56
2018,94884,Puerto Colombia,94,Guainía,3829.0,Guainía (ETC),707,23.87,44.13,17.91,49.23,6.98,0.0,48.09,50.75,78.77,23.26,0.0,,,5.88,8.82,3.91,14.0,,89.71,17.65,92.58,86.0,,4.41,17.65,3.52,0.0,,0.59,0.0,0.39,2.0,0.0
2016,63212,Córdoba,63,Quindio,3803.0,Quindio (ETC),1030,95.3,95.34,47.13,81.31,92.73,42.69,114.37,71.26,107.01,144.77,93.57,26.75,7.69,7.94,8.06,5.56,9.86,10.31,85.7,3.23,91.9,79.57,82.47,6.36,3.23,2.55,10.58,7.22,0.5,0.0,0.23,0.96,0.0
2023,41660,Saladoblanco,41,Huila,3790.0,Huila (ETC),2827,86.42,86.42,74.39,98.36,64.68,36.22,91.55,94.31,112.8,81.37,52.39,,,3.06,2.59,1.16,7.17,2.34,88.4,0.0,92.58,75.9,92.52,8.54,0.0,6.25,16.93,5.14,8.98,0.43,10.98,8.46,7.01
2012,76606,Restrepo,76,Valle del Cauca,3817.0,Valle del Cauca (ETC),3343,99.16,99.2,64.8,97.9,77.6,42.8,113.7,96.9,126.0,121.0,80.8,25.99,20.59,4.04,1.08,3.99,5.47,1.98,95.96,0.0,96.01,94.53,98.02,0.0,0.0,0.0,0.0,0.0,1.36,0.0,1.56,1.72,0.44
2014,15804,Tibaná,15,Boyacá,3769.0,Boyacá (ETC),1994,80.39,92.39,85.16,85.86,81.5,58.52,87.01,79.01,91.83,84.89,83.08,26.83,12.0,1.96,2.34,1.31,2.12,3.56,93.64,0.78,93.72,92.04,95.56,4.4,0.78,4.97,5.84,0.89,1.01,0.0,1.7,0.71,0.0
2016,5480,Mutatá,5,Antioquia,3758.0,Antioquia (ETC),5122,91.4,91.41,49.78,99.07,60.18,19.0,107.97,80.53,137.78,104.05,55.01,33.968,6.25,8.22,6.32,8.32,8.89,6.39,90.38,0.0,89.87,90.15,92.48,1.39,0.0,1.81,0.96,1.13,0.12,0.0,0.11,0.15,0.38
2023,20310,González,20,Cesar,3779.0,Cesar (ETC),966,77.74,77.74,68.06,79.74,52.68,37.5,82.82,95.83,100.51,69.35,63.1,,,3.63,1.45,2.04,7.3,2.83,91.5,2.9,91.07,89.27,95.28,4.88,2.9,6.89,3.43,1.89,12.25,2.9,14.03,14.59,6.6
2017,68101,Bolívar,68,Santander,3808.0,Santander (ETC),2686,79.0,78.97,42.21,71.54,70.78,38.17,97.32,70.08,86.07,127.59,82.44,21.113000000000003,16.67,2.3,4.09,1.11,2.61,4.58,91.53,0.0,95.68,87.1,86.97,6.16,0.0,3.22,10.3,8.45,0.35,0.0,0.2,0.62,0.35
2015,68209,Confines,68,Santander,3808.0,Santander (ETC),536,84.14,84.14,69.57,88.0,70.69,34.07,101.49,95.65,99.56,121.26,71.43,22.0,10.0,3.7,4.55,0.89,7.95,2.5,93.9,4.55,95.09,92.05,97.5,2.4,4.55,4.02,0.0,0.0,4.36,0.0,3.13,8.61,0.0
2013,68432,Málaga,68,Santander,3808.0,Santander (ETC),3767,113.91,113.9,53.1,100.8,116.5,72.2,142.3,94.1,138.1,161.0,136.3,,37.5,1.64,2.23,1.25,1.93,1.62,92.66,0.74,97.51,87.09,93.67,5.7,0.74,1.25,10.98,4.72,1.46,0.74,0.77,2.1,1.75
2015,66001,Pereira,66,Risaralda,3806.0,Pereira,84346,96.66,96.32,61.06,89.23,84.62,50.85,116.12,88.51,110.32,131.33,113.41,25.07,98.84,5.32,5.57,3.81,7.57,3.86,86.5,2.73,90.38,79.88,89.62,8.18,2.73,5.81,12.55,6.52,1.38,1.05,1.12,1.94,0.86
2011,25258,El Peñón,25,Cundinamarca,3785.0,Cundinamarca (ETC),990,86.67,86.7,62.5,83.5,69.5,31.0,98.8,93.1,107.0,104.1,74.3,21.36,10.71,6.47,1.49,2.94,12.0,7.69,93.53,0.0,97.06,88.0,92.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,68615,Rionegro,68,Santander,3808.0,Santander (ETC),5459,99.54,99.54,63.77,93.51,89.03,50.84,105.64,85.9,111.5,117.97,75.59,,,1.88,2.81,1.9,1.87,1.28,92.66,0.26,94.47,89.15,94.09,5.45,0.26,3.64,8.97,4.63,5.47,0.26,4.94,8.14,2.24
2019,5670,San Roque,5,Antioquia,3758.0,Antioquia (ETC),4366,81.79,81.79,52.42,78.09,68.79,37.01,94.37,70.09,101.77,100.27,75.92,,,3.69,3.66,4.17,3.62,1.62,92.57,0.0,94.19,89.14,94.05,3.74,0.0,1.63,7.24,4.32,0.3,0.0,0.45,0.16,0.27
2018,20383,La Gloria,20,Cesar,3779.0,Cesar (ETC),3990,108.68,86.32,59.94,90.0,63.27,29.08,93.83,107.72,115.77,84.5,48.92,,,4.1,5.79,4.22,3.56,3.19,87.37,0.0,85.91,86.69,91.13,8.53,0.0,9.87,9.75,5.67,0.52,0.83,0.46,0.66,0.0
2018,25878,Viotá,25,Cundinamarca,3785.0,Cundinamarca (ETC),2449,100.86,104.98,65.22,100.1,92.15,58.66,120.74,109.24,121.14,131.3,103.93,,,2.96,6.47,1.88,3.65,2.62,92.82,1.49,92.84,91.68,96.5,4.22,1.49,5.29,4.67,0.87,3.29,0.0,2.64,5.38,1.46
2015,54520,Pamplonita,54,Norte de Santander,3801.0,Norte de Santander (ETC),1102,80.94,80.94,47.25,81.5,73.32,47.31,94.28,74.73,93.83,94.61,104.3,17.77,0.0,1.58,2.94,1.17,2.4,,97.48,0.0,97.89,96.1,100.0,0.95,0.0,0.94,1.5,0.0,2.31,0.0,1.17,4.5,1.6
2015,52694,San Pedro de Cartago,52,Nariño,3798.0,Nariño (ETC),1749,66.84,66.84,37.24,62.4,58.33,32.62,85.99,64.14,74.93,119.73,55.67,22.51,10.53,3.49,1.08,0.18,7.36,5.1,96.43,0.0,99.82,92.42,94.9,0.08,0.0,0.0,0.22,0.0,0.4,0.0,0.18,0.65,0.64
2022,25178,Chipaque,25,Cundinamarca,3785.0,Cundinamarca (ETC),1927,82.93,82.93,44.91,76.41,76.9,42.36,97.77,89.22,88.45,119.15,83.44,,,2.68,5.37,1.39,3.65,2.22,86.42,0.0,94.03,75.24,88.33,10.9,0.0,4.58,21.11,9.44,9.59,0.67,5.56,17.3,6.11
2017,15276,Floresta,15,Boyacá,3769.0,Boyacá (ETC),854,60.2,60.19,50.75,54.78,49.83,52.24,69.2,56.72,65.45,67.34,89.55,24.5,23.08,1.28,0.0,0.88,1.65,2.0,94.88,0.0,98.24,88.46,97.0,3.84,0.0,0.88,9.89,1.0,0.0,0.0,0.0,0.0,0.0
2019,13657,San Juan Nepomuceno,13,Bolívar,3767.0,Bolívar (ETC),7724,95.49,95.48,76.95,94.38,77.92,48.77,107.61,121.27,113.92,104.58,92.46,,,2.34,2.08,2.37,2.6,1.71,95.39,0.97,96.26,93.7,95.72,2.27,0.97,1.38,3.7,2.57,0.09,0.0,0.09,0.12,0.11
2013,5001,Medellín,5,Antioquia,3759.0,Medellín,377955,106.86,106.6,85.7,104.5,92.7,57.0,122.9,105.2,122.5,133.7,111.4,,100.0,3.39,2.54,2.69,4.63,2.89,90.51,0.11,92.97,85.62,91.48,6.1,0.11,4.34,9.74,5.62,1.41,0.09,1.01,2.26,1.17
2012,13670,San Pablo,13,Bolívar,3767.0,Bolívar (ETC),8192,74.18,74.2,57.7,77.9,48.1,19.9,89.9,136.6,105.2,78.4,45.5,24.84,27.59,11.56,7.17,12.37,13.87,5.35,86.86,0.42,86.95,82.76,90.23,1.59,0.42,0.68,3.37,4.42,0.42,2.42,0.11,0.06,0.0
2016,52418,Los Andes,52,Nariño,3798.0,Nariño (ETC),6384,27.9,27.87,15.16,25.11,24.65,14.66,31.59,26.35,30.99,35.15,28.61,20.083,20.69,2.03,0.0,1.07,3.9,0.84,97.97,0.0,98.93,96.1,99.16,0.0,0.0,0.0,0.0,0.0,0.96,1.37,0.47,1.08,2.09
2018,47245,El Banco,47,Magdalena,3794.0,Magdalena (ETC),16557,111.96,99.76,61.88,94.37,72.51,39.89,126.11,129.98,130.81,132.28,98.55,,,2.44,4.73,1.9,2.52,2.42,93.99,1.25,94.58,93.08,94.33,3.56,1.25,3.51,4.4,3.25,1.16,0.91,1.49,1.04,0.3
2018,73504,Ortega,73,Tolima,3815.0,Tolima (ETC),7744,82.34,83.39,59.36,83.85,71.87,43.96,88.83,82.08,100.94,88.44,62.97,,,2.18,1.79,1.31,3.06,3.53,93.52,0.0,93.51,92.37,93.86,4.29,0.0,5.18,4.57,2.61,0.71,0.0,0.59,1.2,0.26
2022,68425,Macaravita,68,Santander,3808.0,Santander (ETC),431,80.05,80.05,55.88,73.86,74.5,52.78,86.77,73.53,80.68,102.01,76.39,,,2.85,8.0,1.41,4.48,0.0,88.03,0.0,95.07,82.09,82.0,9.12,0.0,3.52,13.43,18.0,0.85,0.0,0.0,2.24,0.0
2023,15757,Socha,15,Boyacá,3769.0,Boyacá (ETC),1625,112.0,112.0,75.74,101.32,107.22,72.83,122.03,110.29,114.62,134.81,121.13,,,1.98,5.45,1.46,1.7,2.45,94.59,2.73,95.29,94.19,95.1,3.43,2.73,3.25,4.11,2.45,6.4,1.82,5.52,8.64,4.55
2023,25841,Ubaque,25,Cundinamarca,3785.0,Cundinamarca (ETC),1292,77.17,77.17,51.38,66.98,75.35,53.27,83.36,71.56,74.77,100.0,77.57,,,1.93,2.56,1.49,2.23,1.97,90.36,0.0,94.79,85.15,88.82,7.71,0.0,3.72,12.62,9.21,7.33,3.85,6.2,10.64,3.29
2016,15293,Gachantivá,15,Boyacá,3769.0,Boyacá (ETC),560,110.2,110.18,74.47,93.78,105.26,80.49,122.5,114.89,110.37,138.42,125.61,24.055999999999997,53.85,1.23,1.85,1.13,0.84,2.13,98.77,0.0,98.87,99.16,97.87,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.42,0.0
2019,5004,Abriaquí,5,Antioquia,3758.0,Antioquia (ETC),514,65.76,65.76,42.86,67.77,61.05,33.71,87.35,66.67,118.01,72.67,52.81,,,0.56,0.0,0.63,0.0,2.13,95.0,0.0,97.5,90.4,95.74,4.44,0.0,1.88,9.6,2.13,8.33,0.0,9.38,12.0,0.0
2021,25599,Apulo,25,Cundinamarca,3.785,Cundinamarca (ETC),1.574,73.51,73.51,49.64,72.47,60.27,33.84,86.02,69.78,87.44,97.06,69.58,,,3.74,4.12,3.11,3.69,6.56,95.93,0.0,96.89,96.31,90.16,0.33,0.0,0.0,0.0,3.28,4.15,1.03,2.6,7.62,2.46
2020,76377,La Cumbre,76,Valle del Cauca,3817.0,Valle del Cauca (ETC),2841,73.28,73.28,47.22,67.48,67.65,38.15,86.48,84.26,77.42,104.8,72.29,,,3.45,21.84,1.41,2.06,2.68,86.95,9.2,94.5,82.61,88.59,9.59,9.2,4.1,15.33,8.72,6.86,0.57,5.15,10.87,3.69
2020,68160,Cepitá,68,Santander,3808.0,Santander (ETC),402,88.31,88.31,70.97,87.12,83.33,48.57,106.97,90.32,96.32,130.43,92.86,,,0.0,0.0,0.0,0.0,0.0,97.24,0.0,98.09,96.24,95.45,2.76,0.0,1.91,3.76,4.55,5.25,0.0,3.82,7.52,6.82
2020,68298,Gambita,68,Santander,3808.0,Santander (ETC),860,85.0,85.0,60.27,80.27,75.35,34.78,92.67,79.45,96.44,102.82,68.84,,,2.98,0.0,1.14,5.36,4.94,90.01,1.72,88.92,90.0,88.89,7.0,1.72,9.94,4.64,6.17,3.89,0.0,6.25,2.86,0.0
2022,25086,Beltrán,25,Cundinamarca,3785.0,Cundinamarca (ETC),346,94.51,94.51,57.14,80.56,77.39,50.85,111.85,117.86,108.33,123.48,94.92,,,4.76,3.03,3.21,7.63,2.7,91.04,9.09,91.67,90.08,94.59,4.2,9.09,5.13,2.29,2.7,1.68,0.0,1.28,3.05,0.0
2019,5674,San Vicente,5,Antioquia,3758.0,Antioquia (ETC),4100,73.8,73.8,58.91,73.39,62.45,39.66,80.2,80.66,86.28,81.77,62.59,,,2.35,1.87,1.59,4.09,0.76,89.54,2.25,91.08,83.46,96.21,8.1,2.25,7.33,12.45,3.03,1.6,0.75,1.04,2.88,0.76
2019,8549,Piojó,8,Atlántico,3764.0,Atlántico (ETC),1371,74.03,74.03,50.85,73.78,59.56,37.66,86.07,73.73,90.03,90.67,73.59,,,3.62,4.6,3.11,4.64,2.21,92.39,0.0,92.23,90.71,95.59,3.99,0.0,4.66,4.64,2.21,0.0,0.0,0.0,0.0,0.0
2013,5051,Arboletes,5,Antioquia,3758.0,Antioquia (ETC),10896,78.92,78.9,46.3,84.3,53.3,23.8,87.8,70.4,110.0,82.5,51.4,46.06,60.0,2.23,1.58,2.01,2.79,2.14,93.23,0.0,93.3,92.46,91.16,4.55,0.0,4.69,4.75,6.69,4.62,0.32,6.37,3.3,1.74
2012,52788,Tangua,52,Nariño,3798.0,Nariño (ETC),2205,85.08,85.1,58.5,89.9,63.6,34.1,106.6,79.2,138.5,95.9,71.3,17.84,18.42,1.11,0.69,0.51,2.36,0.45,98.89,0.0,99.49,97.64,99.55,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.1,0.31,0.0
2019,70702,San Juan de Betulia,70,Sucre,3813.0,Sucre (ETC),2789,89.39,89.39,58.22,89.65,71.38,43.52,101.47,115.49,106.16,101.46,84.82,,,1.83,2.84,1.91,1.44,1.99,90.3,0.0,91.64,86.93,90.63,7.87,0.0,6.45,11.63,7.39,2.22,0.0,1.91,3.77,0.57
2014,15491,Nobsa,15,Boyacá,3769.0,Boyacá (ETC),3830,71.88,92.82,81.29,89.94,81.6,60.11,77.44,56.81,73.01,84.26,84.37,28.55,20.0,1.53,2.56,1.71,0.91,2.29,92.06,0.0,94.44,87.81,94.57,6.4,0.0,3.85,11.28,3.14,0.44,0.0,0.11,0.91,0.29
2013,47205,Concordia,47,Magdalena,3794.0,Magdalena (ETC),2191,123.19,123.2,69.8,108.0,93.4,51.3,152.4,183.4,177.4,137.5,110.7,53.56,50.0,3.25,0.32,2.3,4.44,6.09,96.09,0.0,96.89,94.73,93.63,0.67,0.0,0.81,0.83,0.28,0.5,0.32,0.67,0.31,0.55
2021,47660,Sabanas de San Angel,47,Magdalena,3.7939999999999996,Magdalena (ETC),4.464,94.96,94.96,59.69,87.01,54.62,29.75,125.34,121.17,129.3,113.83,141.24,,,1.17,0.21,0.45,1.37,5.3,92.23,0.0,95.64,85.55,86.44,6.6,0.0,3.91,13.08,8.26,8.04,4.0,9.73,8.24,2.75
2015,15837,Tuta,15,Boyacá,3769.0,Boyacá (ETC),2188,90.72,90.72,54.44,85.85,88.8,56.6,98.72,73.89,94.28,111.34,96.48,21.73,11.11,1.79,1.77,0.87,2.64,2.04,95.52,0.0,96.65,94.08,95.24,2.69,0.0,2.48,3.27,2.72,0.7,0.0,0.12,1.64,0.0
2019,91798,Tarapacá,91,Amazonas,3828.0,Amazonas (ETC),1250,58.72,58.72,56.36,64.27,32.85,12.0,67.2,70.91,84.5,57.42,39.5,,,0.38,0.0,0.0,0.49,3.85,99.62,0.0,100.0,99.51,96.15,0.0,0.0,0.0,0.0,0.0,15.9,2.56,22.6,6.9,13.46
2011,5674,San Vicente,5,Antioquia,3758.0,Antioquia (ETC),3883,106.7,106.7,75.5,104.5,95.3,56.6,114.3,88.1,124.9,121.1,89.9,23.21,90.0,2.72,1.83,2.28,2.2,5.87,91.11,1.83,89.64,91.91,91.44,6.17,1.83,8.08,5.89,2.68,3.67,1.1,4.04,4.2,2.2
2020,52233,Cumbitara,52,Nariño,3798.0,Nariño (ETC),1069,130.78,130.78,115.79,137.26,100.53,50.99,140.32,152.63,165.38,139.2,86.14,,,3.67,0.86,2.33,5.17,6.32,87.53,0.86,86.05,86.4,89.66,8.8,0.86,11.63,8.43,4.02,3.27,1.72,3.92,3.26,1.72
2018,68406,Lebríja,68,Santander,3808.0,Santander (ETC),8356,88.69,91.14,58.24,88.77,83.26,44.83,102.85,93.24,103.49,114.17,83.64,,,4.34,4.94,2.63,5.92,5.06,87.06,0.0,92.54,81.57,79.87,8.6,0.0,4.83,12.51,15.06,0.78,0.0,0.36,1.16,1.56
2012,99773,Cumaribo,99,Vichada,3832.0,Vichada (ETC),10953,63.68,63.7,31.6,63.0,18.8,5.2,71.6,70.0,111.3,41.8,17.6,9.7,9.28,6.37,8.87,5.0,10.56,6.25,82.23,,81.58,82.9,88.67,11.4,,13.42,6.54,5.08,0.22,0.0,0.15,0.65,0.0
2021,73055,Armero,73,Tolima,3.815,Tolima (ETC),2.098,103.91,103.91,62.11,102.73,85.22,59.08,115.78,106.83,124.17,118.92,94.31,,,7.09,6.98,6.63,8.19,5.84,85.26,2.33,87.8,80.27,86.69,7.65,2.33,5.57,11.54,7.47,3.87,0.0,2.5,6.95,2.6
2021,27050,Atrato,27,Chocó,3.7889999999999997,Chocó (ETC),1.507,85.07,85.07,62.71,87.99,62.67,32.2,94.16,91.53,110.36,93.04,60.23,,,3.81,6.48,5.07,1.25,4.4,90.98,0.0,92.25,87.32,94.97,5.21,0.0,2.68,11.43,0.63,6.27,0.0,5.81,9.36,3.14
2023,68179,Chipatá,68,Santander,3808.0,Santander (ETC),843,62.4,62.4,35.71,58.36,55.45,46.45,66.79,57.14,65.65,66.34,73.55,,,1.62,0.0,0.46,1.01,5.45,97.31,0.0,99.54,96.48,93.64,1.08,0.0,0.0,2.51,0.91,4.85,0.0,4.63,8.04,0.91
2013,68250,El Peñón,68,Santander,3808.0,Santander (ETC),1425,75.16,75.2,50.0,81.3,55.1,22.5,90.3,83.0,116.2,79.5,59.5,33.67,6.06,3.3,3.41,3.21,3.78,1.94,96.43,0.0,96.61,95.68,98.06,0.27,0.0,0.18,0.54,0.0,0.0,0.0,0.0,0.0,0.0
2023,70221,Coveñas,70,Sucre,3813.0,Sucre (ETC),3841,100.29,100.23,82.47,100.76,80.26,54.82,114.32,160.39,116.11,111.07,95.03,,,3.84,9.87,1.81,4.43,3.79,89.57,0.0,94.23,84.46,86.36,6.59,0.0,3.96,11.11,9.85,7.95,14.69,6.7,7.93,6.25
